"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Acesso a Produtos com Autenticacao","0","0","Tentar buscar produtos autenticados com token invalido","0"
"0","","0","Gerenciamento de Produtos Eletronicos","5","0","Buscar produtos por diferentes IDs","0"
"0","","0","Acesso a Produtos com Autenticacao","1","0","Fluxo completo - login e acesso a produtos protegidos","0"
"0","","0","Autenticacao de Usuario","1","0","Login com username valido e senha incorreta","0"
"0","","0","Health Check da API","1","0","Verificar tempo de resposta do health check","0"
"0","","0","Gerenciamento de Produtos Eletronicos","1","0","Buscar todos os produtos com sucesso","0"
"0","","0","Acesso a Produtos com Autenticacao","1","0","Buscar produtos autenticados com token valido","0"
"0","","0","Autenticacao de Usuario","4","0","Login com diferentes combinacoes de credenciais","0"
"0","","0","Health Check da API","1","0","Verificar status da API com sucesso","0"
"0","","0","Gerenciamento de Produtos Eletronicos","1","0","Tentar criar produto com body vazio","0"
"0","","0","Gerenciamento de Produtos Eletronicos","1","0","Buscar produto eletronico por ID valido","0"
"0","","0","Gerenciamento de Produtos Eletronicos","1","0","Tentar criar produto com preco negativo","0"
"0","","0","Gerenciamento de Produtos Eletronicos","1","0","Criar produto eletronico valido","0"
"0","","0","Gerenciamento de Produtos Eletronicos","1","0","Tentar criar produto sem campo titulo","0"
"0","","0","Acesso a Produtos com Autenticacao","1","0","Tentar buscar produtos autenticados sem token","0"
"0","","0","Autenticacao de Usuario","1","0","Login com credenciais validas","0"
"0","","0","Gerenciamento de Produtos Eletronicos","1","0","Criar produto eletronico com dados especificos","0"
"0","","0","Autenticacao de Usuario","1","0","Tentativa de login sem enviar body","0"
"0","","0","Autenticacao de Usuario","1","0","Login com credenciais invalidas","0"
"0","","0","Gerenciamento de Produtos Eletronicos","1","0","Buscar produto com ID inexistente","0"
