"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero verificar o status da API
  Para garantir que ela esta operacional antes de executar operacoes","157","Verificar tempo de resposta do health check","","2026-06-07","passed","2026-06-07","","Health Check da API","Verificar tempo de resposta do health check",""
"  Como um usuario autenticado do sistema de gerenciamento de produtos eletronicos
  Quero acessar os endpoints protegidos de produtos
  Para visualizar o catalogo restrito","156","Tentar buscar produtos autenticados com token invalido","","2026-06-07","failed","2026-06-07","","Acesso a Produtos com Autenticacao","Tentar buscar produtos autenticados com token invalido",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero gerenciar o catalogo de produtos
  Para manter o inventario atualizado","144","Buscar produtos por diferentes IDs","","2026-06-07","passed","2026-06-07","","Gerenciamento de Produtos Eletronicos","Buscar produtos por diferentes IDs",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero gerenciar o catalogo de produtos
  Para manter o inventario atualizado","43","Buscar produtos por diferentes IDs","","2026-06-07","passed","2026-06-07","","Gerenciamento de Produtos Eletronicos","Buscar produtos por diferentes IDs",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero gerenciar o catalogo de produtos
  Para manter o inventario atualizado","157","Buscar produtos por diferentes IDs","","2026-06-07","passed","2026-06-07","","Gerenciamento de Produtos Eletronicos","Buscar produtos por diferentes IDs",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero me autenticar na API
  Para poder acessar os recursos protegidos","162","Login com diferentes combinacoes de credenciais","","2026-06-07","passed","2026-06-07","","Autenticacao de Usuario","Login com diferentes combinacoes de credenciais",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero me autenticar na API
  Para poder acessar os recursos protegidos","158","Tentativa de login sem enviar body","","2026-06-07","passed","2026-06-07","","Autenticacao de Usuario","Tentativa de login sem enviar body",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero me autenticar na API
  Para poder acessar os recursos protegidos","197","Login com username valido e senha incorreta","","2026-06-07","passed","2026-06-07","","Autenticacao de Usuario","Login com username valido e senha incorreta",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero gerenciar o catalogo de produtos
  Para manter o inventario atualizado","165","Buscar produto com ID inexistente","","2026-06-07","passed","2026-06-07","","Gerenciamento de Produtos Eletronicos","Buscar produto com ID inexistente",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero gerenciar o catalogo de produtos
  Para manter o inventario atualizado","148","Tentar criar produto com preco negativo","","2026-06-07","passed","2026-06-07","","Gerenciamento de Produtos Eletronicos","Tentar criar produto com preco negativo",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero gerenciar o catalogo de produtos
  Para manter o inventario atualizado","178","Criar produto eletronico com dados especificos","","2026-06-07","passed","2026-06-07","","Gerenciamento de Produtos Eletronicos","Criar produto eletronico com dados especificos",""
"  Como um usuario autenticado do sistema de gerenciamento de produtos eletronicos
  Quero acessar os endpoints protegidos de produtos
  Para visualizar o catalogo restrito","419","Buscar produtos autenticados com token valido","","2026-06-07","passed","2026-06-07","","Acesso a Produtos com Autenticacao","Buscar produtos autenticados com token valido",""
"  Como um usuario autenticado do sistema de gerenciamento de produtos eletronicos
  Quero acessar os endpoints protegidos de produtos
  Para visualizar o catalogo restrito","359","Fluxo completo - login e acesso a produtos protegidos","","2026-06-07","passed","2026-06-07","","Acesso a Produtos com Autenticacao","Fluxo completo - login e acesso a produtos protegidos",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero gerenciar o catalogo de produtos
  Para manter o inventario atualizado","301","Buscar todos os produtos com sucesso","","2026-06-07","passed","2026-06-07","","Gerenciamento de Produtos Eletronicos","Buscar todos os produtos com sucesso",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero gerenciar o catalogo de produtos
  Para manter o inventario atualizado","195","Criar produto eletronico valido","","2026-06-07","passed","2026-06-07","","Gerenciamento de Produtos Eletronicos","Criar produto eletronico valido",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero verificar o status da API
  Para garantir que ela esta operacional antes de executar operacoes","183","Verificar status da API com sucesso","","2026-06-07","passed","2026-06-07","","Health Check da API","Verificar status da API com sucesso",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero gerenciar o catalogo de produtos
  Para manter o inventario atualizado","146","Buscar produtos por diferentes IDs","","2026-06-07","passed","2026-06-07","","Gerenciamento de Produtos Eletronicos","Buscar produtos por diferentes IDs",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero me autenticar na API
  Para poder acessar os recursos protegidos","2563","Login com credenciais validas","","2026-06-07","passed","2026-06-07","","Autenticacao de Usuario","Login com credenciais validas",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero gerenciar o catalogo de produtos
  Para manter o inventario atualizado","154","Buscar produtos por diferentes IDs","","2026-06-07","passed","2026-06-07","","Gerenciamento de Produtos Eletronicos","Buscar produtos por diferentes IDs",""
"  Como um usuario do sistema de gerenciamento de produtos eletronicos
  Quero gerenciar o catalogo de produtos
  Para manter o inventario atualizado","144","Tentar criar produto com body vazio","","2026-06-07","passed","2026-06-07","","Gerenciamento de Produtos Eletronicos","Tentar criar produto com body vazio",""
